Description	Code
write a program to print the bitwise OR of two numbers	"

num1 = 5
num2 = 10
print(num1 | num2)
"
write a Python Program to Display the multiplication Table of given number	"num = 12
for i in range(1, 11):
	print(num, 'x', i, '=', num * i)
"
write a python function to check external IP address	"def check_ip():
	import re
	import urllib.request as ur
	url = ""http://checkip.dyndns.org""
	with ur.urlopen(url) as u:
        s = str(u.read())
        ip = re.findall(r""\d{1,3}.\d{1,3}.\d{1,3}.\d{1,3}"", s)
        print(""IP Address: "", ip[0])
        return ip[0]
"
write a python function to return mean of a list of numbers	"

def mean(list):
	sum = 0
	for num in list:
        sum += num
	return sum / len(list)
"
Write a python program to find and print the longest word in a sentence	"

string = ""python java c c++ javascript pascal php""


print(string)


words = string.split()


id_longest = 0


for i in range(1, len(words)):
	if len(words[id_longest]) < len(words[i]):
        id_longest = i


print(words[id_longest])
"
Write a function that returns a dictionary sorted descending by its values	"def descending_dict_valuesort(d: dict):
	return {
        key: val for key,
        val in sorted(
            d.items(),
            reverse=True,
            key=lambda ele: ele[1])}
"
40 function to print the ascii value of letter	"def show_ascii():
	import string
	letter = string.ascii_letters
	for i in letter:
        print(i + "":"" + str(ord(i)))
"
write a python function to Check if a given string is binary string or not	"def check(string):
	s = {'0', '1'}
	if s == p or p == {'0'} or p == {'1'}:
        return True
	else:
        return False
"
parameter.	"class Person:
	name = ""Person""

	def __init__(self, name=None):
        self.name = name
"
Write a python program for printing number of unique elements in a list	"input_list = [1, 2, 2, 5, 8, 4, 4, 8]

l1 = []

count = 0

for item in input_list:
	if item not in l1:
        count += 1
        l1.append(item)


print(""No of unique items are:"", count)
"
iterate through rows of X	"for i in range(len(X)):
	
	for j in range(len(Y[0])):
        
        for k in range(len(Y)):
            result[i][j] += X[i][k] * Y[k][j]


for r in result:
	print(r)
"
Counting total lower Case in a string	"str1 = ""abc4234AFdeaa""
digitCount = 0
for i in range(0, len(str1)):
	char = str1[i]
	if(char.lower()):
        digitCount += 1
print('Number total lower Case: ', digitCount)
"
write a python function to print the octal value of a decimal number	"def print_octal(dec):
	print(oct(dec))
"
function to Convert Binary to Gray Code	"def binary_to_gray(n):
	n = int(n, 2)
	n ^= (n >> 1)
	return bin(n)[2:]
"
the base using recursion.	"

def power(base, exp):
	if(exp == 1):
        return(base)
	if(exp != 1):
        return(base * power(base, exp - 1))


base = int(input(""Enter base: ""))
exp = int(input(""Enter exponential value: ""))
print(""Result:"", power(base, exp))
"
from 1 to 10 and values are squares of the key	"square_dict = {}
for i in range(1, 11):
	square_dict[i] = i * i
"
Write a function to return the perimeter of an equilateral triangle	"def cal_perimeter_eq_triangle(a):
	return 3 * a
"
23. python function to find the area of a circle	"def square_area(x):
	return x ** 2
"
write a python function to check whether the number is a Magic number or not	"def isMagic(n):
	sum = 0

	while (n > 0 or sum > 9):
        if (n == 0):
            n = sum
            sum = 0
        sum = sum + n % 10
        n = int(n / 10)

	return True if (sum == 1) else False
"
Merge two dictionaries in a single expression	"currentEmployee = {1: 'Scott', 2: ""Eric"", 3: ""Kelly""}
formerEmployee = {2: 'Eric', 4: ""Emma""}
allEmployee = {**currentEmployee, **formerEmployee}
print(allEmployee)
"
Write a python function to get the surface area of a cube with side as input	"def cube_surface_area(side):
	surface_area = 6 * side ** 2
	return surface_area
"
Find if all elements in a list are identical	"listOne = [20, 20, 20, 20]
print(""All element are duplicate in listOne:"",
      listOne.count(listOne[0]) == len(listOne))
"
check if the string is equal to its reverse	"if list(my_str) == list(rev_str):
	print(""The string is a palindrome."")
else:
	print(""The string is not a palindrome."")
"
Write a python function to get the Cumulative sum of a list	"def Cumulative(lists):
	cu_list = []
	length = len(lists)
	cu_list = [sum(lists[0:x:1]) for x in range(0, length + 1)]
	return cu_list[1:]


 
l = [1, 2.0, 'hello', 'have', 'a', 'good', 'day']

s = 'hello'

if s in l:
	print(f'{s} is present in the list')
else:
	print(f'{s} is not present in the list')
"
itertools.combinations(iterable, r)	"def random_combination(iterable, r):
	import random
	pool = tuple(iterable)
	n = len(pool)
	indices = sorted(random.sample(range(n), r))
	return tuple(pool[i] for i in indices)
"
Write a Python function that takes the age and return the age in days.	"def calc_age(age):
	calculation = age * 365
	return calculation
"
conditional usecase	"a_list = [1, 2]
if a_list[0] == 1:
	print('Hello, World!')
else:
	print('Bye, World!')
"
array of integers except the one at i.	"def product(nums):
	new_nums = []

	for i in nums:
        nums_product = 1

        for j in nums:
            if j != i:
                nums_product = nums_product * j
        new_nums.append(nums_product)

	return new_nums
"
return the average	"

def average(*args):
	return sum(args, 0.0) / len(args)
"
Insert a number at the beginning of the queue	"q = [1, 2, 3, 4]
q.insert(0, 5)
print(f""Revised List:{q}"")
"
write a Python function to Find HCF of two numbers	"def hcf(x, y):
	if x > y:
        smaller = y
	else:
        smaller = x
	for i in range(1, smaller + 1):
        if((x % i == 0) and (y % i == 0)):
            hcf = i
	return hcf
"
l, bredth b and height h	"def cal_surface_area_cuboid(l, b, h):
	return 2 * (l * b + b * h + h * l)
"
Program to cyclically rotate an array by one	"

def cyclicRotate(input):
	print([input[-1]] + input[0:-1])
"
15.Python program to display all the prime numbers within an interval	"

lower = 900
upper = 1000


print(""Prime numbers between"", lower, ""and"", upper, ""are:"")


for num in range(lower, upper + 1):
	
	if num > 1:
        for i in range(2, num):
            if (num % i) == 0:
                break
        else:
            print(num)
"
write a python program to add two list using python zip method	"

l1 = [10, 20, 30]
l2 = [-10, -20, -30]
l3 = [x + y for x, y in zip(l1, l2)]
print('added two list:', l3)
"
in the File	"

def capitalize(fname):
	with open(fname, 'r') as f:
        for line in f:
            l = line.title()
            print(l)
"
write a python program to multiple two list values	"

l1 = [1, 2, 3]
l2 = [4, 5, 6]
print('multiply two list values:', [x * y for x in l1 for y in l2])
"
in [5,6,77,45,22,12,24].	"li = [5, 6, 77, 45, 22, 12, 24]
li = [x for x in li if x % 2 != 0]
print(li)
"
Write a Python Program to Concatenate Two Dictionaries Into One	"

def concat_dic(d1, d2):
	return d1.update(d2)
"
This function adds two numbers	"def add(x, y):
	return x + y
"
and print it	"

test_dict = {'Gfg': 6, 'is': 7, 'best': 9, 'for': 8, 'geeks': 11}
temp = ""Pro""


d = {}
for key, value in test_dict.items():
	d.update({temp + key: value})
print(d)
"
for the below list	"

def heapsort(alist):
	build_max_heap(alist)
	for i in range(len(alist) - 1, 0, -1):
        alist[0], alist[i] = alist[i], alist[0]
        max_heapify(alist, index=0, size=i)


def parent(i):
	return (i - 1) // 2


def left(i):
	return 2 * i + 1


def right(i):
	return 2 * i + 2


def build_max_heap(alist):
	length = len(alist)
	start = parent(length - 1)
	while start >= 0:
        max_heapify(alist, index=start, size=length)
        start = start - 1


def max_heapify(alist, index, size):
	l = left(index)
	r = right(index)
	if (l < size and alist[l] > alist[index]):
        largest = l
	else:
        largest = index
	if (r < size and alist[r] > alist[largest]):
        largest = r
	if (largest != index):
        alist[largest], alist[index] = alist[index], alist[largest]
        max_heapify(alist, largest, size)


alist = [2, 3, 5, 6, 4, 5]
heapsort(alist)
print('Sorted list: ', end='')
print(alist)
"
write a python function to return nth item or a default value	"def nth(iterable, n, default=None):
	from itertools import islice
	return next(islice(iterable, n, None), default)
"
Return the largest item from the given list	"aList = [4, 6, 8, 24, 12, 2]
print(max(aList))
"
58 function to show boolean true / false is a number	"def bool_show(a=5):
	return True * a
"
number, merge all overlapping intervals.	"org_intervals = [[1, 3], [2, 6], [5, 10], [11, 16], [15, 18], [19, 22]]
i = 0
while i < len(org_intervals) - 1:
	if org_intervals[i + 1][0] < org_intervals[i][1]:
        org_intervals[i][1] = org_intervals[i + 1][1]
        del org_intervals[i + 1]
        i = i - 1
	i = i + 1
print(org_intervals)
"
write a python program to sort a list in descending order and print it	"

list = [3, 1, 5, 6]
result = sorted(list, reverse=True)
print(result)
"
36. Python funcction to Find the Factors of a Number	"def print_factors(x):
	print(""The factors of"", x, ""are:"")
	for i in range(1, x + 1):
        if x % i == 0:
            print(i)
"
hour hand coincide	"

def find_time(h1):

	theta = 30 * h1
	print(""("", end="""")
	print((theta * 2), ""/ 11) minutes"")


h1 = 3
find_time(h1)
"
Pretty print JSON	"import json
person_string = '{""name"": ""Bob"", ""languages"": ""English"", ""numbers"": [2, 1.6, null]}'
person_dict = json.loads(person_string)
print(json.dumps(person_dict, indent=4, sort_keys=True))
"
Write a program to get a list of locally installed Python modules	"import pkg_resources
installed_packages = pkg_resources.working_set
installed_packages_list = sorted(
	[""%s==%s"" % (i.key, i.version) for i in installed_packages])
for m in installed_packages_list:
	print(m)
"
write a program to print even length words in a string	"

str1 = ""I am doing fine""
s = str1.split(' ')
for word in s:
	if len(word) % 2 == 0:
        print(word)
"
61 write a program to sort Dictionary by Values and Keys and print it	"

test_dict = {""Gfg"": 1, ""is"": 3, ""Best"": 2, ""for"": 3, ""Geeks"": 2}
print(""The original dictionary is : "" + str(test_dict))

res = {val[0]: val[1]
       for val in sorted(test_dict.items(), key=lambda x: (-x[1], x[0]))}

print(""Sorted dictionary : "" + str(res))
"
case string	"

def string_test(s):
	d = {""UPPER_CASE"": 0, ""LOWER_CASE"": 0}
	for c in s:
        if c.isupper():
            d[""UPPER_CASE""] += 1
        elif c.islower():
            d[""LOWER_CASE""] += 1
        else:
            pass
	print(""Original String : "", s)
	print(""No. of Upper case characters : "", d[""UPPER_CASE""])
	print(""No. of Lower case Characters : "", d[""LOWER_CASE""])


string_test('The quick Brown Fox')
"
Convert string into a datetime object	"from datetime import datetime
date_string = ""Feb 25 2020  4:20PM""
datetime_object = datetime.strptime(date_string, '%b %d %Y %I:%M%p')
print(datetime_object)
"
Write a function to return the area of a equilateral triangle	"def cal_eq_triangle_area(a: float) -> float:
	if a:
        return (3**(1 / 2)) * (a**2) / 4
	else:
        return None
"
many times as its count.	"from collections import Counter
c = Counter(p=4, q=2, r=0, s=-2)
print(list(c.elements()))
"
each tuple element	"userInput = input(""Enter a tuple:"")
x = map(lambda x: len(x), tuple(x.strip() for x in userInput.split(',')))
print(list(x))
"
sequence on a single line.	"alues = []
for i in range(1000, 3001):
	s = str(i)
	if (int(s[0]) % 2 == 0) and (int(s[1]) % 2 == 0) and (int(s[2]) % 2 == 0) and (int(s[3]) % 2 == 0):
        values.append(s)
	print("","".join(values))
"
write a python function that takes in two numbers and returns their LCM	"def lcm(num1, num2):
	bigger = num1 if num1 > num2 else num2
	while True:
        if (bigger % num1 == 0) and (bigger % num2 == 0):
            break
        bigger += 1
	return bigger
"
return the modified data list	"def remove_duplicates(data):
	c = Counter(data)
	s = set(data)
	for item in s:
        count = c.get(item)
        while count > 1:
            data.pop(item)
            count -= 1
	return data
"
in console.	"def printValue(n):
	print(str(n))
"
between 0 and n in comma separated form while n is input by console.	"def EvenGenerator(n):
	i = 0
	while i <= n:
        if i % 2 == 0:
            yield i
        i += 1
"
